🚀 處理範圍: 2000 ~ 2500 (共 500 users)
                                                                                            risakkuma0723 -> 795 outfits | ⏱ 542.06s | avg 542.06s      
unakmkmay -> 11 outfits | ⏱ 8.40s | avg 159.62s                                             
tappy1119 -> 26 outfits | ⏱ 16.12s | avg 159.19s                                            
ungrid1010 -> 0 outfits | ⏱ 1.84s | avg 158.72s                                             
mi1213 -> 104 outfits | ⏱ 63.58s | avg 158.44s                                              
l2fruu -> 46 outfits | ⏱ 122.34s | avg 158.33s                                              
nojungkooknolife91 -> 95 outfits | ⏱ 155.04s | avg 158.32s                                  
jiggys_shop -> 177 outfits | ⏱ 107.59s | avg 158.17s                                        
ryokonchan -> 0 outfits | ⏱ 1.74s | avg 157.71s                                             
donabedesu -> 62 outfits | ⏱ 43.88s | avg 157.38s                                           
yaemom -> 38 outfits | ⏱ 122.31s | avg 157.28s                                              
kaori2106 -> 48 outfits | ⏱ 30.31s | avg 156.91s                                            
1717ta -> 32 outfits | ⏱ 116.72s | avg 156.79s                                              
enjoyinc -> 83 outfits | ⏱ 53.60s | avg 156.49s                                             
viswear034 -> 643 outfits | ⏱ 501.50s | avg 157.49s                                         
tno -> 0 outfits | ⏱ 1.92s | avg 157.04s                                                    
arii33 -> 480 outfits | ⏱ 319.18s | avg 157.51s                                             
darial -> 116 outfits | ⏱ 169.31s | avg 157.54s                                             
adthie -> 288 outfits | ⏱ 263.28s | avg 157.84s                                             
nowle -> 145 outfits | ⏱ 187.09s | avg 157.92s                                              
myon0105 -> 244 outfits | ⏱ 158.93s | avg 157.93s                                           
nekokaseijin -> 193 outfits | ⏱ 126.11s | avg 157.84s                                       
natsdayo72 -> 461 outfits | ⏱ 370.49s | avg 158.44s                                         
rhythmmadeinjapan -> 42 outfits | ⏱ 124.77s | avg 158.34s                                   
enaane -> 23 outfits | ⏱ 14.42s | avg 157.94s                                               
SHIPS_1502mk -> 112 outfits | ⏱ 70.01s | avg 157.69s                                        
honoca1290 -> 34 outfits | ⏱ 20.97s | avg 157.31s                                           
nuiwear1913 -> 10 outfits | ⏱ 7.61s | avg 156.90s                                           
yumiii85 -> 72 outfits | ⏱ 149.04s | avg 156.87s                                            
mico2088 -> 191 outfits | ⏱ 225.20s | avg 157.06s                                           
Session02 -> 0 outfits | ⏱ 1.97s | avg 156.64s                                              
n0p9r0n1 -> 35 outfits | ⏱ 21.77s | avg 156.27s                                             
009344st -> 67 outfits | ⏱ 40.45s | avg 155.95s                                             
mirusenmirumiru -> 162 outfits | ⏱ 99.53s | avg 155.79s                                     
sho090602 -> 48 outfits | ⏱ 131.52s | avg 155.73s                                           
kentyperry -> 111 outfits | ⏱ 176.28s | avg 155.78s                                         
kaaai0628 -> 0 outfits | ⏱ 1.92s | avg 155.37s                                              
una1510 -> 0 outfits | ⏱ 1.89s | avg 154.95s                                                
marimekkostaff -> 451 outfits | ⏱ 374.05s | avg 155.54s                                     
ponchann3 -> 2 outfits | ⏱ 3.22s | avg 155.13s                                              
noa012 -> 0 outfits | ⏱ 1.89s | avg 154.72s                                                 
gnk93 -> 261 outfits | ⏱ 263.60s | avg 155.01s                                              
mihairuuu -> 405 outfits | ⏱ 333.96s | avg 155.49s                                          
naonao46 -> 0 outfits | ⏱ 1.85s | avg 155.08s                                               
keita20031231 -> 77 outfits | ⏱ 45.80s | avg 154.79s                                        
rl05 -> 57 outfits | ⏱ 137.25s | avg 154.75s                                                
msz5524 -> 222 outfits | ⏱ 237.22s | avg 154.96s                                            
futorock -> 76 outfits | ⏱ 47.71s | avg 154.68s                                             
mocoten -> 43 outfits | ⏱ 124.05s | avg 154.60s                                             
lhpwomen0311 -> 293 outfits | ⏱ 278.46s | avg 154.92s                                       
sayabooh -> 10 outfits | ⏱ 9.72s | avg 154.55s                                              
hamilton44 -> 373 outfits | ⏱ 242.41s | avg 154.77s                                         
los13angels -> 27 outfits | ⏱ 17.50s | avg 154.42s                                          
ryu1229gk -> 66 outfits | ⏱ 144.64s | avg 154.39s                                           
io46s -> 300 outfits | ⏱ 282.75s | avg 154.72s                                              
yuka229 -> 224 outfits | ⏱ 140.64s | avg 154.69s                                            
dalbyeol00 -> 40 outfits | ⏱ 122.93s | avg 154.61s                                          
adocoa1124 -> 2 outfits | ⏱ 2.93s | avg 154.22s                                             
ohinano31 -> 120 outfits | ⏱ 75.90s | avg 154.02s                                           
shunyak -> 226 outfits | ⏱ 144.34s | avg 153.99s                                            
mgmgii -> 91 outfits | ⏱ 157.11s | avg 154.00s                                              
dundamchan -> 0 outfits | ⏱ 1.88s | avg 153.61s                                             
408243 -> 287 outfits | ⏱ 275.10s | avg 153.92s                                             
Users:  79%|███████████████████████████████▌      ❌ status 403: https://images.wear2.jp/coordinate/bBiegVAx/y2najG9P/1701244870_276.jpgs=180]
taniguchi2022 -> 374 outfits | ⏱ 234.71s | avg 154.13s                                      
moni20 -> 67 outfits | ⏱ 142.67s | avg 154.10s                                              
Users:  79%|███████████████████████████████▊  ❌ status 403: https://images.wear2.jp/coordinate/7biBvEQ0/n3YN3Vrt/1686896162_276.jpgts=60]
❌ status 403: https://images.wear2.jp/coordinate/7biBvEQ0/UJWvtLeq/1686895507_276.jpg
udctakayui -> 137 outfits | ⏱ 87.60s | avg 153.93s                                          
watsurow -> 0 outfits | ⏱ 1.90s | avg 153.55s                                               
eastboyeastboy61 -> 85 outfits | ⏱ 149.39s | avg 153.54s                                    
ikeda0419 -> 359 outfits | ⏱ 233.99s | avg 153.74s                                          
bun0604 -> 399 outfits | ⏱ 250.52s | avg 153.98s                                            
93fksmd -> 177 outfits | ⏱ 118.53s | avg 153.89s                                            
nonchandance -> 37 outfits | ⏱ 121.58s | avg 153.81s                                        
mystic_shirai -> 47 outfits | ⏱ 30.95s | avg 153.51s                                        
iheuyolincoln -> 131 outfits | ⏱ 90.53s | avg 153.35s                                       
mmmmma000 -> 0 outfits | ⏱ 1.91s | avg 152.98s                                              
gionryo -> 29 outfits | ⏱ 18.63s | avg 152.65s                                              
nataldesign -> 0 outfits | ⏱ 1.98s | avg 152.28s                                            
yumic0827 -> 0 outfits | ⏱ 1.80s | avg 151.92s                                              
fupnpo3 -> 334 outfits | ⏱ 304.55s | avg 152.29s                                            
yuan05 -> 71 outfits | ⏱ 147.43s | avg 152.28s                                              
whim1abe -> 112 outfits | ⏱ 175.32s | avg 152.33s                                           
ruirui00 -> 140 outfits | ⏱ 87.15s | avg 152.17s                                            
mii3310 -> 32 outfits | ⏱ 20.27s | avg 151.86s                                              
urachan1220 -> 17 outfits | ⏱ 12.65s | avg 151.52s                                          
ax_hwis00 -> 62 outfits | ⏱ 142.41s | avg 151.50s                                           
bosaka -> 0 outfits | ⏱ 1.82s | avg 151.14s                                                 
publictokyozozo -> 228 outfits | ⏱ 231.85s | avg 151.33s                                    
ymys31275 -> 33 outfits | ⏱ 119.89s | avg 151.26s                                           
gwhikarigaoka03 -> 540 outfits | ⏱ 436.65s | avg 151.94s                                    
izumi888 -> 777 outfits | ⏱ 594.25s | avg 152.99s                                           
miku1001 -> 422 outfits | ⏱ 279.67s | avg 153.29s                                           
jqsyy -> 40 outfits | ⏱ 128.39s | avg 153.23s                                               
doraemono -> 154 outfits | ⏱ 101.33s | avg 153.10s                                          
komakoma3939 -> 0 outfits | ⏱ 1.81s | avg 152.75s                                           
mi88mi -> 40 outfits | ⏱ 24.63s | avg 152.45s                                               
fredcake -> 0 outfits | ⏱ 1.92s | avg 152.10s                                               
Users:  86%|█████████████████████████████████❌ download fail: https://images.wear2.jp/coordinate/EJiPzYOL/KJDWf3lq/1746321090_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Max retries exceeded with url: /coordinate/EJiPzYOL/KJDWf3lq/1746321090_276.jpg (Caused by SSLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1000)')))
nanamoue -> 844 outfits | ⏱ 662.47s | avg 153.29s                                           
GARDENZOZO -> 15 outfits | ⏱ 11.88s | avg 152.96s                                           
takaya1202 -> 44 outfits | ⏱ 29.59s | avg 152.67s                                           
tanakacr -> 30 outfits | ⏱ 19.43s | avg 152.36s                                             
yunhinmin -> 292 outfits | ⏱ 190.62s | avg 152.45s                                          
eringipal -> 33 outfits | ⏱ 121.47s | avg 152.38s                                           
lingerie0 -> 2 outfits | ⏱ 2.77s | avg 152.04s                                              
kaitora19621122 -> 49 outfits | ⏱ 30.30s | avg 151.76s                                      
uto8414 -> 46 outfits | ⏱ 131.26s | avg 151.71s                                             
nana0103t -> 164 outfits | ⏱ 117.02s | avg 151.63s                                          
suzanfumiko -> 0 outfits | ⏱ 1.82s | avg 151.29s                                            
adidasy3 -> 283 outfits | ⏱ 166.06s | avg 151.32s                                           
kurumi226 -> 96 outfits | ⏱ 161.26s | avg 151.35s                                           
azusaai -> 221 outfits | ⏱ 135.53s | avg 151.31s                                            
tominasatsuki -> 149 outfits | ⏱ 94.52s | avg 151.18s                                       
manato918923 -> 45 outfits | ⏱ 128.63s | avg 151.13s                                        
yuya0324 -> 0 outfits | ⏱ 1.97s | avg 150.80s                                               
bfmaritan -> 49 outfits | ⏱ 133.27s | avg 150.76s                                           
coen9087 -> 1 outfits | ⏱ 2.51s | avg 150.43s                                               
ushi0725 -> 56 outfits | ⏱ 36.24s | avg 150.17s                                             
YUUCHIDA -> 0 outfits | ⏱ 2.01s | avg 149.84s                                               
damdam326 -> 39 outfits | ⏱ 123.29s | avg 149.78s                                           
sopwmwm -> 265 outfits | ⏱ 176.94s | avg 149.84s                                            
ax_hwkp00 -> 157 outfits | ⏱ 201.35s | avg 149.96s                                          
hycr1417 -> 32 outfits | ⏱ 19.90s | avg 149.67s                                             
ax_ho3100 -> 166 outfits | ⏱ 105.41s | avg 149.57s                                          
wenling1023 -> 56 outfits | ⏱ 37.66s | avg 149.33s                                          
axes3anju -> 85 outfits | ⏱ 154.28s | avg 149.34s                                           
psychobunny_ -> 241 outfits | ⏱ 142.83s | avg 149.32s                                       
uta0617 -> 111 outfits | ⏱ 172.14s | avg 149.37s                                            
runakumaa -> 44 outfits | ⏱ 29.79s | avg 149.11s                                            
kotama0603 -> 40 outfits | ⏱ 24.62s | avg 148.84s                                           
emi95152 -> 243 outfits | ⏱ 263.19s | avg 149.09s                                           
kstyle078 -> 12 outfits | ⏱ 8.63s | avg 148.78s                                             
fuufuu5665 -> 110 outfits | ⏱ 175.63s | avg 148.84s                                         
heisen -> 55 outfits | ⏱ 135.68s | avg 148.81s                                              
jeep3011 -> 43 outfits | ⏱ 27.33s | avg 148.55s                                             
okumoto -> 0 outfits | ⏱ 1.90s | avg 148.24s                                                
olivia1013 -> 99 outfits | ⏱ 64.61s | avg 148.06s                                           
hirasho1 -> 50 outfits | ⏱ 132.23s | avg 148.03s                                            
maayann -> 180 outfits | ⏱ 121.75s | avg 147.97s                                            
makiolive -> 209 outfits | ⏱ 226.70s | avg 148.14s                                          
9631hk -> 10 outfits | ⏱ 7.80s | avg 147.84s                                                
fujimesi -> 84 outfits | ⏱ 55.53s | avg 147.64s                                             
pinoko -> 3 outfits | ⏱ 3.41s | avg 147.34s                                                 
earnohoshi -> 43 outfits | ⏱ 127.86s | avg 147.30s                                          
tittyandco2023 -> 98 outfits | ⏱ 161.68s | avg 147.33s                                      
kakerun0910 -> 182 outfits | ⏱ 219.96s | avg 147.48s                                        
yuklaly -> 186 outfits | ⏱ 118.79s | avg 147.42s                                            
guchi1208 -> 46 outfits | ⏱ 29.87s | avg 147.17s                                            
sui88 -> 116 outfits | ⏱ 179.10s | avg 147.24s                                              
jinism666 -> 5 outfits | ⏱ 4.91s | avg 146.94s                                              
shhtsd -> 103 outfits | ⏱ 165.80s | avg 146.98s                                             
higemegane1110 -> 0 outfits | ⏱ 1.86s | avg 146.68s                                         
gonoji -> 211 outfits | ⏱ 231.61s | avg 146.86s                                             
akr9121 -> 19 outfits | ⏱ 13.06s | avg 146.58s                                              
matanori1028 -> 0 outfits | ⏱ 2.02s | avg 146.28s                                           
sakurashansen47 -> 820 outfits | ⏱ 589.44s | avg 147.20s                                    
labo03 -> 35 outfits | ⏱ 21.31s | avg 146.94s                                               
peemee -> 103 outfits | ⏱ 167.25s | avg 146.98s                                             
yy19801121 -> 1 outfits | ⏱ 2.47s | avg 146.68s                                             
josemoon -> 518 outfits | ⏱ 416.50s | avg 147.23s                                           
riina24 -> 70 outfits | ⏱ 147.19s | avg 147.23s                                             
sts613 -> 161 outfits | ⏱ 107.12s | avg 147.15s                                             
masashi0207 -> 11 outfits | ⏱ 8.47s | avg 146.87s                                           
nikomakoo -> 193 outfits | ⏱ 137.41s | avg 146.85s                                          
hrk1904 -> 0 outfits | ⏱ 1.73s | avg 146.56s                                                
yuzulemage -> 456 outfits | ⏱ 295.59s | avg 146.86s                                         
fg_c4 -> 0 outfits | ⏱ 1.87s | avg 146.57s                                                  
ia0604 -> 122 outfits | ⏱ 82.39s | avg 146.44s                                              
manayo -> 47 outfits | ⏱ 30.78s | avg 146.21s                                               
hikarubountyhunter -> 0 outfits | ⏱ 1.84s | avg 145.92s                                     
Users: 100%|██████████████████████████████████████████| 500/500 [20:24:19<00:00, 146.92s/it]

✅ Done: 2000 ~ 2500
